Date and Time,Rocket,Flight Number,Launch Country,Launch Site,LSP,Payload,Operator,Orbit,Function,Decay,Outcome,Remarks
17 April13:03,Kosmos-3M,,Russia,Plesetsk Site 132/1,,Kosmos 2341 (Parus),MO RF,Low Earth,Navigation,In orbit,Operational
21 April11:59,Pegasus-XL,,Spain,"Stargazer, Gando",Orbital Sciences,"Minisat-01
Celestis Founders","INTA
Celestis","Low Earth
Low Earth","Technology development
Space burial","26 February 2002
20 May 2002","Successful
Successful"
25 April05:49,Atlas I,,United States,Cape Canaveral LC-36B,International Launch Services,GOES 10 (GOES-K),NOAA,GeosynchronousGraveyard (after retirement),Meteorology,In orbit,Successful,"
Final flight of Atlas I, satellite retired and boosted to graveyard orbit on 1 December 2009.
"
28 April16:42,VS-30,,Brazil,Alcântara,INPE,AL-VS30-223,DLR,Suborbital,Test rocket,28 April,Successful
30 April,RH-560/300 Mk.II,,India,Sriharikota,ISRO,,ISRO,Suborbital,Test rocket,30 April,Successful
2 May07:30,Black Brant IX,,United States,White Sands LC-36,NASA,,NASA,Suborbital,X-ray Astronomy,2 May,Successful
5 May14:55,Delta II (7920-10C),,United States,Vandenberg SLC-2W,Boeing IDS,"Iridium 8
Iridium 7
Iridium 6
Iridium 5
Iridium 4","Iridium
Iridium
Iridium
Iridium
Iridium","Low Earth
Low Earth
Low Earth
Low Earth
Low Earth","Communications
Communications
Communications
Communications
Communications","24 November 2017
In orbit
23 December 2017
In orbit
In orbit","Successful
Operational
Successful
Operational
Operational"
8 May07:10,Black Brant IX,,United States,White Sands LC-36,NASA,,NASA,Suborbital,Astronomy,8 May,Successful
8 May08:01,LGM-118 Peacekeeper,,United States,Vandenberg LF-05,US Air Force,9 re-entry vehicles,US Air Force,Suborbital,Missile test,8 May,Successful
11 May16:17,Long March 3A,,China,Xichang LC-2,,Zhongxing-6 (Chinasat-6),Chinasat,Geosynchronous,Communications,In orbit,Operational
14 May00:33,Molniya-M,,Russia,Plesetsk Site 43/4,,Kosmos 2342 (Oko),MO RF,Molniya,Early warning,In orbit,Operational
15 May08:07,Space Shuttle Atlantis,,United States,Kennedy LC-39A,United Space Alliance,"STS-84
SpaceHab LDM","NASA
NASA/SpaceHab","Low Earth (Mir)
Low Earth (Atlantis)","Shuttle-Mir flight
Logistics","
Crewed orbital flight with seven astronauts
"
15 May12:10,Soyuz-U,,Kazakhstan,Baikonur Site 31/6,,Kosmos 2343,MO RF,Low Earth,Reconnaissance,18 September,Successful
15 May19:16,Black Brant IX,,United States,White Sands LC-36,NASA,NCAR/CU-6,NASA,Suborbital,Ultraviolet astronomy/Solar observation,15 May,Successful
20 May07:07,Zenit-2,,Kazakhstan,Baikonur Site 45/1,,Tselina-2,VKS,Intended: Low Earth,ELINT,+ 48 seconds,Launch Failure,"
Stage 1 engine failure
"
20 May22:39,Delta II 7925-9.5,,United States,Cape Canaveral LC-17A,Boeing IDS,Thor-2,Telenor,Geosynchronous,Communications,In orbit,Operational
21 May08:27,LGM-30G Minuteman III,,United States,Vandenberg LF-04,US Air Force,FOT GT164GM/SHARP,US Air Force,Suborbital,Missile and re-entry vehicle test,21 May,Successful
23 May21:44,Terrier- Orion,,United States,Wallops Island,NASA,MSX,SMDC,Suborbital,Target,23 May,Successful
24 May17:00,Proton-K/DM-2M,,Kazakhstan,Baikonur Site 81/23,International Launch Services,Telstar 5,Loral Skynet,Geosynchronous,Communications,In orbit,Operational
29 May04:56,Black Brant IX,,United States,White Sands LC-36,NASA,,NASA,Suborbital,Radio astronomy,29 May,Successful
30 May,UGM-133 Trident II,,United States,"Submarine, Eastern Range",US Navy,,US Navy,Suborbital,Missile test,30 May,Successful
3 June23:20,Ariane 4 (44L),,France,Kourou ELA-2,Arianespace,"Inmarsat 3F4
INSAT 2D","Inmarsat
ISRO","Geosynchronous
Geosynchronous","Communications
Communications","In orbit
In orbit","Operational
Spacecraft Failure","
Insat 2D declared a total loss on 4 October 1997.
"
6 June16:56,Proton-K/17S40,,Kazakhstan,Baikonur Site 200/39,,Kosmos 2344 (Arkon),MO RF,Medium Earth,Reconnaissance,In orbit,Operational
10 June,UR-100NU,,Kazakhstan,Baikonur,RVSN,,RVSN,Suborbital,Missile test,10 June,Successful
10 June12:01,Long March 3,,China,Xichang LC-1,,Feng Yun 2A,CASC,Geosynchronous,Meteorology,In orbit,Spacecraft Failure,"
Halted transmitting data in April 1998, resumed transmission but imaging system failed later that year in September.
"
18 June14:02,LGM-30G Minuteman III,,United States,Vandenberg LF-10,US Air Force,FOT GT165GM,US Air Force,Suborbital,Missile test,18 June,Successful
18 June14:02,Proton-K/17S40,,Kazakhstan,Baikonur Site 81/23,,"Iridium 14
Iridium 12
Iridium 9
Iridium 10
Iridium 13
Iridium 16
Iridium 11","Iridium
Iridium
Iridium
Iridium
Iridium
Iridium
Iridium","Low Earth
Low Earth
Low Earth
Low Earth
Low Earth
Low Earth
Low Earth","Communications
Communications
Communications
Communications
Communications
Communications
Communications","In orbit
2 September 2018
11 March 2003
6 October 2018
29 April 2018
In orbit
In orbit","Spacecraft Failure
Successful
Spacecraft Failure
Successful
Successful
Operational
Spacecraft Failure"
24 June03:39,LGM-30F Minuteman II,,United States,Vandenberg LF-03,US Air Force,MSLS IFT-1A,US Air Force,Suborbital,ABM target,24 June,Partial Failure,"
Some decoys failed to deploy
"
24 June04:00,Payload Launch Vehicle,,Marshall Islands,"Meck Island, Kwajalein",Orbital Sciences,IFT-1A EKV,US Air Force,Suborbital,ABM Test,24 June,Partial Failure,"
Poor system performance; Non-destructive flyby
"
25 June23:44,Ariane 4 (44P),,France,Kourou ELA-2,Arianespace,Intelsat 802,Intelsat,Geosynchronous,Communications,In orbit,Operational
1 July18:02,Space Shuttle Columbia,,United States,Kennedy LC-39A,United Space Alliance,"STS-94
Spacelab Long Module 1
EDO Pallet","NASA
NASA
NASA","Low Earth
Low Earth (Columbia)
Low Earth (Columbia)","Microgravity research
Spacelab MSL-1
Cryogenic mission extension pallet","
Crewed orbital flight with seven astronauts, reflight of STS-83Final flight of Spacelab Long Module 1
"
5 July04:11,Soyuz-U,,Kazakhstan,Baikonur Site 1/5,Roskosmos,Progress M-35,Roskosmos,Low Earth (Mir),Logistics,7 October17:23,Successful
8 July12:25,RT-2PM Topol,,Russia,Plesetsk Site 158,RVSN,,RVSN,Suborbital,Missile test,8 July,Successful
9 July,KSR-II,,South Korea,Anhueng,KARI,,KARI,Suborbital,X-ray astronomy/Ionosphere research,9 July,Successful
9 July13:04,Delta II 7920-10C,,United States,Vandenberg SLC-2W,Boeing IDS,"Iridium 15
Iridium 17
Iridium 20
Iridium 18
Iridium 21","Iridium
Iridium
Iridium
Iridium
Iridium","Low Earth
Low Earth
Low Earth
Low Earth
Low Earth","Communications
Communications
Communications
Communications
Communications","14 October 2018
In orbit
In orbit
19 August 2018
In orbit","Successful
Operational
Spacecraft Failure
Successful
Spacecraft Failure"
23 July,R-29,,Russia,"Submarine, Barents Sea",Russian Navy,,Russian Navy,Suborbital,Missile test,23 July,Successful
23 July03:42,Delta II 7925-9.5,,United States,Cape Canaveral LC-17A,Boeing IDS,USA-132 (GPS IIR-2),US Air Force,Medium Earth,Navigation,In orbit,Operational
28 July01:15,Atlas IIAS,,United States,Cape Canaveral LC-36B,International Launch Services,Superbird C,SCC,Geosynchronous,Communications,In orbit,Operational
1 August20:20,Pegasus-XL,,United States,"Stargazer, Vandenberg",Orbital Sciences,Orbview-2,GeoEye,Low Earth,Earth imaging,In orbit,Operational
5 August15:35,Soyuz-U,,Kazakhstan,Baikonur Site 1/5,Roskosmos,Soyuz TM-26,Roskosmos,Low Earth (Mir),Mir EO-24,19 February 199809:10,Successful,"
Crewed orbital flight with two cosmonauts
"
7 August14:41,Space Shuttle Discovery,,United States,Kennedy LC-39A,United Space Alliance,"STS-85
CRISTA-SPAS-2
MFD","NASA
DLR/NASA
NASDA","Low Earth
Low Earth
Low Earth (Discovery)","Space sciences
Atmospheric research
Dextrous RMS demonstration","
Crewed orbital flight with six astronautsCRISTA-SPAS deployed 7 August and retrieved 16 August
"
8 August06:46,Ariane 4 (44LP),,France,Kourou ELA-2,Arianespace,PAS 6,PanAmSat,Geosynchronous,Communications,In orbit,Spacecraft Failure,"
Spacecraft failure occurred in April 2004
"
8 August13:19,Super Loki,,United States,Wallops Island,NASA,,NASA,Suborbital,Aeronomy research,8 August,Successful
8 August13:24,Terrier-Orion,,United States,Wallops Island,NASA,COORS,NASA,Suborbital,Ionosphere/Aeronomy research,8 August,Failure
8 August16:29,Black Brant VC,,United States,White Sands,NASA,,NASA,Suborbital,Ionosphere/Aeronomy research,8 August,Successful
9 August13:29,Super Loki,,United States,Wallops Island,NASA,,NASA,Suborbital,Aeronomy research,9 August,Successful
9 August22:57,Super Loki,,United States,Wallops Island,NASA,,NASA,Suborbital,Aeronomy research,9 August,Successful
10 August13:36,Viper,,United States,Wallops Island,NASA,,NASA,Suborbital,Aeronomy research,10 August,Successful
10 August21:30,Super Loki,,United States,Wallops Island,NASA,,NASA,Suborbital,Aeronomy research,10 August,Successful
11 August13:38,Super Loki,,United States,Wallops Island,NASA,,NASA,Suborbital,Aeronomy research,11 August,Successful
11 August13:43,Viper,,United States,Wallops Island,NASA,,NASA,Suborbital,Aeronomy research,11 August,Successful
11 August18:18,Black Brant IX,,United States,White Sands,NASA,,NASA,Suborbital,Ultraviolet astronomy,11 August,Successful
11 August21:34,Super Loki,,United States,Wallops Island,NASA,,NASA,Suborbital,Aeronomy research,11 August,Successful
12 August12:10,Super Loki,,United States,Wallops Island,NASA,,NASA,Suborbital,Aeronomy research,12 August,Successful
12 August12:15,Viper,,United States,Wallops Island,NASA,,NASA,Suborbital,Aeronomy research,12 August,Successful
12 August12:26,Super Loki,,United States,Wallops Island,NASA,,NASA,Suborbital,Aeronomy research,12 August,Successful
12 August21:41,Super Loki,,United States,Wallops Island,NASA,,NASA,Suborbital,Aeronomy research,12 August,Successful
13 August13:50,Super Loki,,United States,Wallops Island,NASA,,NASA,Suborbital,Aeronomy research,13 August,Successful
13 August13:55,Super Loki,,United States,Wallops Island,NASA,,NASA,Suborbital,Aeronomy research,13 August,Successful
13 August21:40,Super Loki,,United States,Wallops Island,NASA,,NASA,Suborbital,,13 August,Successful
14 August12:22,Super Loki,,United States,Wallops Island,NASA,,NASA,Suborbital,Aeronomy research,14 August,Successful
14 August12:27,Viper,,United States,Wallops Island,NASA,,NASA,Suborbital,Aeronomy research,14 August,Successful
14 August20:49,Proton-K/DM-2,,Kazakhstan,Baikonur Site 200/39,,Kosmos 2345 (Prognoz),MO RF,Geosynchronous,Early warning,In orbit,Successful,"
Retired on 1 January 1999
"
