Date and Time,Rocket,Flight Number,Launch Country,Launch Site,LSP,Payload,Operator,Orbit,Function,Decay,Outcome,Remarks
8 May22:10,Zenit-3SL,,Norway,Ocean Odyssey,Sea Launch,"XM-1 ""Roll""",XM Satellite Radio,Geosynchronous,Communications,In orbit,Partial satellite failure,"
Design fault with solar panels led to shorter operational life, deactivated November 2006
"
15 May01:11,Proton-K/DM-2M,,Kazakhstan,Baikonur Site 81/23,International Launch Services,Panamsat 10,PanAmSat,Geosynchronous,Communications,In orbit,Operational
18 May17:45,Delta II 7925-9.5,,United States,Cape Canaveral SLC-17B,Boeing IDS,GeoLITE (USA-158),NRO,Geostationary,Experimental communications,In orbit,Operational
20 May22:32,Soyuz-FG,,Kazakhstan,Baikonur Site 1/5,Roskosmos,Progress M1-6,Roskosmos,Low Earth (ISS),Logistics,22 August,Successful,"
Maiden flight of Soyuz-FGISS flight 4P
"
29 May17:55,Soyuz-U,,Russia,Plesetsk Site 43/4,VKS,Kosmos 2377,MO RF,Low Earth,Reconnaissance,10 October,Successful
8 June15:08,Kosmos-3M,,Russia,Plesetsk Site 132,VKS,Kosmos 2378,MO RF,Low Earth,Navigation,In orbit,Operational
9 June06:45,Ariane 4 44L,,France,Kourou ELA-2,Arianespace,Intelsat 901,Intelsat,Geosynchronous,Communications,In orbit,Operational
16 June01:49,Proton-K/DM-2M,,Kazakhstan,Baikonur Site 81/23,International Launch Services,Astra 2C,SES Astra,Geosynchronous,Communications,In orbit,Operational
19 June04:41,Atlas IIAS,,United States,Cape Canaveral SLC-36B,International Launch Services,ICO F2,ICO,Medium Earth,Communications,In orbit,Operational
30 June17:45,Delta II 7425-10,,United States,Cape Canaveral SLC-17B,Boeing IDS,WMAP,NASA,Earth-Sun L2 Lagrange Point,Astronomy,In orbit,Successful,"
Ceased operations on 20 August 2010, subsequently manoeuvred into heliocentric orbit on 8 September
"
12 July09:03,Space Shuttle Atlantis,,United States,Kennedy LC-39B,United Space Alliance,"STS-104
Quest","NASA
NASA","Low Earth (ISS)
Low Earth","ISS assembly
ISS component","25 July03:38
In orbit","Successful
Operational","
Crewed orbital flight with five astronauts
"
12 July21:58,Ariane 5G,,France,Kourou ELA-3,Arianespace,"Artemis
BSAT-2B","ESA
BSAT","Geosynchronous
Intended: GeosynchronousAchieved: Medium Earth","Navigation
Communications","In orbit
28 January 2014","Partial launch failureOperational
Launch failure","
Premature cutoff of 2nd stage. Artemis reached correct orbit under own power, BSAT abandoned in useless orbit
"
20 July00:17,Molniya-M,,Russia,Plesetsk Site 43/4,VKS,Molniya 3–51,MO RF,Molniya,Communications,19 December 2016,Successful
23 July07:23,Atlas IIA,,United States,Cape Canaveral SLC-36A,,GOES-12 (GOES-M),NOAA,Geosynchronous,Weather satellite,In orbit,Operational
31 July08:00,Tsyklon-3,,Russia,Plesetsk Site 32/2,VKS,Koronas F,RAKA,Sun-synchronous,Solar observation,6 December 2005,Successful
6 August07:28,Titan IVB (402)/IUS,,United States,Cape Canaveral SLC-40,Lockheed Martin,DSP-21 (USA-159),US Air Force,Geosynchronous,Missile early warning,In orbit,Operational
8 August16:13,Delta II 7326-9.5,,United States,Cape Canaveral SLC-17A,Boeing IDS,Genesis,NASA,Earth-Sun L1 Lagrange Point,Solar Wind sample return,8 September 2004,Partial failure,"
Parachute failed to deploy upon return to Earth, some samples recovered from wreckage
"
10 August21:10,Space Shuttle Discovery,,United States,Kennedy LC-39A,United Space Alliance,"STS-105
Leonardo MPLM
Simplesat","NASA
ASI/NASA
NASA","Low Earth (ISS)
Low Earth (ISS)
Low Earth","ISS assembly
Logistics
Astronomy","22 August03:38
Successful
30 January 2002","
Crewed orbital flight with seven astronautsISS crew exchange (launched Expedition 3)Simplesat released 20 August 18:30 UTC, and failed to contact ground
"
21 August09:23,Soyuz-U,,Kazakhstan,Baikonur Site 1/5,Roskosmos,Progress M-45,Roskosmos,Low Earth (ISS),Logistics,22 November,Successful,"
ISS flight 5P
"
24 August20:35,Proton-K/DM-2,,Kazakhstan,Baikonur Site 81/24,VKS,Kosmos 2379,VKS,Geosynchronous,Early warning,In orbit,Operational
29 August07:00,H-IIA 202,,Japan,Tanegashima LA-Y1,,"LRE
VEP-2","NASDA
NASDA","Geostationary transfer
Geostationary transfer","Orbit determination
Boilerplate spacecraft","In orbit
In orbit","Successful
Successful","
Maiden flight of H-IIA
"
30 August06:46,Ariane 4 44L,,France,Kourou ELA-2,Arianespace,Intelsat 902,Intelsat,Geosynchronous,Communications,In orbit,Operational
8 September15:25,Atlas IIAS,,United States,Vandenberg SLC-3E,,"NOSS C1-1 (USA-160)
NOSS C1-1 (USA-160-2)","NRO
NRO","Low Earth
Low Earth","SIGINT
SIGINT","In orbit
In orbit","Operational
Operational"
14 September23:34,Soyuz-U,,Kazakhstan,Baikonur Site 1/5,Roskosmos,"Progress M-SO1
Pirs","Roskosmos
Roskosmos","Low Earth (ISS)
Low Earth (ISS)","Orbital tug
ISS component","26 September
In orbit","Successful
Operational","
ISS flight 4R
"
21 September18:49,Taurus 2110,,United States,Vandenberg LC-576E,Orbital Sciences,"Orbview-4
QuikTOMS
SBD
Celestis-4","OrbImage
NASA
Orbital Sciences
Celestis","Intended: Low Earth
Intended: Low Earth
Intended: Low Earth","Earth observation
Ozone observation
Boilerplate spacecraft
Space burial","
Failed to reach orbit after control issues
"
25 September23:21,Ariane 4 44P,,France,Kourou ELA-2,Arianespace,Atlantic Bird 2,Eutelsat,Geosynchronous,Communications,In orbit,Operational,"
Final flight of Ariane 4 44P
"
30 September02:40,Athena I,,United States,Kodiak LP-1,Lockheed Martin,"Starshine 3
Picosat 9
PCSat
Sapphire","NASA
US Air Force
US Air Force
Stanford University","Low Earth
Low Earth
Low Earth
Low Earth","Electronic component testing
Communications","21 January 2003
In orbit
In orbit
In orbit","Successful
Successful
Operational
Operational","
Kodiak Star, Space Test Program mission. Final flight of Athena I, and at the time final flight of the Athena family, which was later reactivated. First orbital launch from Kodiak Island.
"
5 October21:21,Titan IVB (404),,United States,Vandenberg SLC-4E,Lockheed Martin,EIS-2 (USA-161),NRO,Sun-synchronous,Reconnaissance,In orbit,Operational
6 October16:45,Proton-K/DM-2,,Kazakhstan,Baikonur Site 81,VKS,Raduga-1,VKS,Geosynchronous,Communications,In orbit,Operational
11 October02:32,Atlas IIAS,,United States,Cape Canaveral SLC-36B,,Aquila (USA-162),NRO,Geosynchronous,Communications,In orbit,Operational
18 October18:51,Delta II 7320-10,,United States,Vandenberg SLC-2W,Boeing IDS,QuickBird 2,DigitalGlobe,Low Earth,Earth observation,27 January 2015,Successful
21 October08:59,Soyuz-U,,Kazakhstan,Baikonur Site 1/5,Roskosmos,Soyuz TM-33,Roskosmos,Low Earth (ISS),ISS escape craft,5 May 200203:52,Successful,"
Crewed orbital flight with three cosmonauts
"
22 October04:53,PSLV,,India,Satish Dhawan,ISRO,"TES
PROBA
BIRD","ISRO
ESA","Low Earth
Low Earth
Low Earth","Reconnaissance
Technology demonstration
Earth imaging","In orbit
In orbit
In orbit","Operational
Operational
Operational"
24 October,Sounding Rocket II,,Taiwan,Jiu Peng Air Base,NSPO,,NSPO,Suborbital,Ionospheric research,24 October,Launch failure
25 October11:34,Molniya-M,,Russia,Plesetsk Site 43/3,VKS,Molniya 3–52,VKS,Molniya,Communications,6 December 2011,Successful
26 November18:24,Soyuz-FG,,Kazakhstan,Baikonur Site 1/5,Roskosmos,"Progress M1-7
Kolibri","Roskosmos
RAKA","Low Earth (ISS)
Low Earth","Logistics
Technology demonstration","20 March 2002
4 May 2002","Successful
Successful","
ISS flight 6PKolibri deployed from Progress on 19 March 2002
"
27 November00:35,Ariane 4 44LP,,France,Kourou ELA-2,Arianespace,DirecTV-4S,DirecTV,Geosynchronous,Communications,In orbit,Operational,"
Final flight of Ariane 4 44LP
"
1 December18:04,Proton-K/DM-2,,Kazakhstan,Baikonur,VKS,"Kosmos 2382 (GLONASS)
Kosmos 2383 (GLONASS)
Kosmos 2384 (GLONASS)","KNITs
KNITs
KNITs","Medium Earth
Medium Earth
Medium Earth","Navigation
Navigation
Navigation","In orbit
In orbit
In orbit","Operational
Operational
Operational"
5 December22:19,Space Shuttle Endeavour,,United States,Kennedy LC-39B,United Space Alliance,"STS-108
Raffaello MPLM
Starshine 2","NASA
ASI/NASA
NASA","Low Earth (ISS)
Low Earth (ISS)
Low Earth","ISS assembly
Logistics
Technology demonstration","17 December17:55
Successful
26 April 2002","
Crewed orbital flight with seven astronautsISS crew exchange (launched Expedition 4)Starshine 2 released 16 December, 15:02 UTC
"
7 December15:07,Delta II 7920-10,,United States,Vandenberg SLC-2W,Boeing IDS,"Jason 1
TIMED","CNES/NASA
NASA","Low Earth
Low Earth","Oceanography
Solar research","In orbit
In orbit","Operational
Operational"
10 December17:18,Zenit-2,,Kazakhstan,Baikonur Site 45/1,,"Meteor 3M-1
Kompas
Badr B
Maroc-Tubsat
Reflector","Rosaviakosmos
IZMIRAN
Centre Royal de Teledetection Spatiale
Rosaviakosmos/US Air Force","Low Earth
Low Earth
Low Earth
Low Earth
Low Earth","Weather satellite
Earthquake prediction
Earth imaging
Earth imaging/Communications
Space debris research","In orbit
In orbit
In orbit
In orbit
In orbit","Operational
Operational
Operational
Operational
Operational"
21 December04:00,Tsyklon-2,,Kazakhstan,Baikonur Site 90/20,,Kosmos 2383,Russian Navy,Low Earth,Reconnaissance,20 March 200418:54,Successful
28 December03:24,Tsyklon-3,,Russia,Plesetsk Site 32/2,VKS,"Kosmos 2384 (Strela)
Kosmos 2385 (Strela)
Kosmos 2386 (Strela)
Gonets D1-10 (Gonets)
Gonets D1-11 (Gonets)
Gonets D1-12 (Gonets)","VKS
VKS
VKS
VKS
VKS
VKS","Low Earth
Low Earth
Low Earth
Low Earth
Low Earth
Low Earth","Communications
Communications
Communications
Communications
Communications
Communications","In orbit
In orbit
In orbit
In orbit
In orbit
In orbit","Operational
Operational
Operational
Operational
Operational
Operational"
