Date and Time,Rocket,Flight Number,Launch Country,Launch Site,LSP,Payload,Operator,Orbit,Function,Decay,Outcome,Remarks
27 April18:22,Athena II,,United States,Vandenberg SLC-6,Lockheed Martin,IKONOS 1,Space Imaging,Intended: Sun-synchronous,Earth imaging,27 April,Launch Failure,"
Payload fairing failed to separate; Failed to orbit due to additional weight of the fairing
"
28 April20:30,Kosmos-3M,,Russia,Kapustin Yar Area 107,,"ABRIXAS
Megsat-0","DLR
MegSat","Low Earth
Low Earth","X-ray astronomy
Communications","In orbit
4 October 2003","Spacecraft failure
Successful","
ABRIXAS' power system failed three days after launch
"
30 April16:30,Titan IVB (401)/Centaur,,United States,Cape Canaveral SLC-40,Lockheed Martin,USA-143 (Milstar-3),US Air Force,Intended: GeosynchronousAchieved: Medium Earth,Communications,In orbit,Launch Failure,"
Centaur programming error led to three burns in a 90 minute period which were intended to be performed over a six-hour period. Payload stranded in a useless orbit.
"
4 May,M4,,France,"Submarine, Bay of Biscay",French Navy,,French Navy,Suborbital,Missile test,4 May,Successful
4 May,M4,,France,"Submarine, Bay of Biscay",French Navy,,French Navy,Suborbital,Missile test,4 May,Successful
5 May01:00,Delta III 8930,,United States,Cape Canaveral SLC-17B,Boeing IDS,Orion 3,Loral Orion,Intended: GeosynchronousAchieved: Medium Earth,Communications,In orbit,Launch Failure,"
Upper stage engine failure resulted in payload being stranded in a useless orbit
"
7 May20:00,Black Brant IX,,United States,White Sands,NASA,VAULT,NASA,Suborbital,Ultraviolet astronomy,7 May,Successful
10 May01:22,Long March 4B,,China,Taiyuan LC-1,CASC,"Feng Yun 1C
Shi Jian 5","CASC
CASC","Sun-synchronous
Sun-synchronous","Weather satellite
Magnetosphere research","12 January 2007
In orbit","Successful
Operational","
Maiden flight of Long March 4BFY-1C destroyed by ASAT after retirement
"
14 May11:33,Skylark VII,,Sweden,Esrange LC-S,SSC,MASER 8,SSC,Suborbital,Microgravity research,14 May,Successful
18 May05:09,Pegasus-XL/HAPS,,United States,"Stargazer, Vandenberg",Orbital Sciences,"TERRIERS
MUBLCOM","NASA/Boston
DARPA/US Army","Low Earth
Low Earth","Ionosphere research
Communications","In orbit
In orbit","Spacecraft failure
Operational","
TERRIERS solar panel failed to track the sun and the satellite's batteries exhausted their power supply on 20 MayMUBLCOM collided with DART but is still operational.
"
20 May22:30,Proton-K/DM-2M,,Kazakhstan,Baikonur Site 81/23,International Launch Services,Nimiq 1,Telesat,Geosynchronous,Communications,In orbit,Operational
22 May09:36,Titan IVB (404),,United States,Vandenberg SLC-4E,Lockheed Martin,USA-144 (Misty-2),NRO,Medium Earth,Reconnaissance,In orbit,Operational
26 May06:22,PSLV,,India,Sriharikota FLP,ISRO,"Oceansat-1
Kitsat-3
DLR-Tubsat","ISRO
KAIST
DLR","Sun-synchronous
Sun-synchronous
Sun-synchronous","Oceanography
Technology development","In orbit
In orbit
In orbit","Operational
Operational
Operational"
27 May10:49,Space Shuttle Discovery,,United States,Kennedy LC-39B,United Space Alliance,"STS-96
SpaceHab Double Module
STARSHINE","NASA
NASA/SpaceHab
NASA/NRL","Low Earth (ISS)
Low Earth (Discovery)
Low Earth","ISS assembly
Logistics
Observation target","
Crewed orbital flight with seven astronautsStarshine deployed from Discovery at 07:21 UTC on 5 June
"
3 June14:20,Topol M,,Russia,Plesetsk Site 158,RVSN,,RVSN,Suborbital,Missile test,3 June,Successful
10 June11:07,Hera,,United States,White Sands LC-94,US Air Force,,US Air Force,Suborbital,ABM target,10 June,Successful
10 June11:14,THAAD,,United States,White Sands,US Air Force,,US Air Force,Suborbital,ABM Interceptor,10 June,Successful
10 June13:48,Delta II 7420-10C,,United States,Cape Canaveral SLC-17B,Boeing IDS,"Globalstar 25
Globalstar 49
Globalstar 47
Globalstar 52","Globalstar
Globalstar
Globalstar
Globalstar","Low Earth
Low Earth
Low Earth
Low Earth","Communications
Communications
Communications
Communications","In orbit
In orbit
In orbit
In orbit","Operational
Operational
Operational
Operational"
11 June17:15,Long March 2C,,China,Taiyuan LC-1,,"Iridium 14A
Iridium 21A","Iridium
Iridium","Low Earth
Low Earth","Communications
Communications","15 March 2019
24 May 2018","Successful
Successful"
14 June07:40,Black Brant IX,,United States,White Sands,NASA,,NASA,Suborbital,Ultraviolet astronomy,14 June,Successful
18 June01:49,Proton-K/DM-2M,,Kazakhstan,Baikonur Site 81/23,International Launch Services,Astra 1H,SES Astra,Geosynchronous,Communications,In orbit,Operational
20 June02:15,Titan 23G,,United States,Vandenberg SLC-4W,Lockheed Martin,QuickSCAT,NASA/NOAA,Sun-synchronous,Oceanography,In orbit,Operational
24 June15:44,Delta II 7320-10,,United States,Cape Canaveral SLC-17A,Boeing IDS,FUSE,NASA,Low Earth,Ultraviolet astronomy,In orbit,Successful,"
Maiden flight of Delta II 7320FUSE was deactivated on 18 October 2007
"
24 June17:00,Black Brant IX,,United States,White Sands,NASA,SERTS-99,NASA,Suborbital,Solar observation,24 June,Successful
1 July,Malmute II,,United States,Pacific Missile Range,US Navy,Slugger,US Navy,Suborbital,TMBD target,1 July,Successful
5 July03:57,Black Brant VC,,United States,Wallops Island,NASA,,NASA,Suborbital,Ionosphere research,5 July,Successful
5 July04:02,Taurus-Orion,,United States,Wallops Island,NASA,,NASA,Suborbital,Ionosphere research,5 July,Successful
5 July13:32,Proton-K/Briz-M,,Kazakhstan,Baikonur Site 81/24,RVSN,Raduga,RVSN,Intended: Geosynchronous,Communications,5 July+45 seconds,Launch Failure,"
Maiden flight of Briz-M upper stageSecond stage exploded
"
5 July23:36,Black Brant VA,,Norway,Andøya,NASA,MD-DR-04 DROPPS-1,NASA,Suborbital,Aeronomy research,5 July,Successful
8 July08:45,Molniya-M,,Russia,Plesetsk Site 43/3,,Molniya 3–50,MO RF,Molniya,Communications,In orbit,Operational
10 July08:45,Delta II 7420-10C,,United States,Cape Canaveral SLC-17B,Boeing IDS,"Globalstar 35
Globalstar 32
Globalstar 51
Globalstar 30","Globalstar
Globalstar
Globalstar
Globalstar","Low Earth
Low Earth
Low Earth
Low Earth","Communications
Communications
Communications
Communications","In orbit
In orbit
In orbit
In orbit","Operational
Operational
Operational
Operational"
14 July03:28,Black Brant VA,,Norway,Andøya,NASA,MD-DR-13 DROPPS-2,NASA,Suborbital,Aeronomy research,14 July,Successful
16 July16:39,Soyuz-U,,Kazakhstan,Baikonur Site 1/5,Roskosmos,Progress M-42,Roskosmos,Low Earth (Mir),Logistics,2 February 200006:10,Successful
17 July06:38,Zenit-2,,Kazakhstan,Baikonur Site 45/1,,Okean-O,RAKA/NKAU,Low Earth,Oceanography,In orbit,Operational
18 July03:31,Taurus-Orion,,United States,Wallops Island,NASA,,NASA,Suborbital,Ionosphere research,18 July,Successful
23 July04:31,Space Shuttle Columbia,,United States,Kennedy LC-39B,United Space Alliance,"STS-93
Chandra X-ray Observatory","NASA
NASA","Low Earth
High Earth","Satellite deployment
X-ray astronomy","28 July03:20
In orbit","Successful
Operational","
Crewed orbital flight with five astronautsFirst Shuttle mission with female commander (Eileen Collins)Engine control failures and fuel leak during ascent resulted in lower orbit than planned and IUS underperformance resulted in lower orbit than planned for Chandra, IPS used to raise orbit, reducing lifespanChandra deployed by Columbia at 11:47 UTC on 23 July
"
25 July07:46,Delta II 7420-10C,,United States,Cape Canaveral SLC-17A,Boeing IDS,"Globalstar 48
Globalstar 26
Globalstar 43
Globalstar 28","Globalstar
Globalstar
Globalstar
Globalstar","Low Earth
Low Earth
Low Earth
Low Earth","Communications
Communications
Communications
Communications","In orbit
In orbit
In orbit
In orbit","Operational
Operational
Operational
Operational"
27 July22:48,Black Brant VB,,Sweden,Esrange,NASA,ICON,NASA,Suborbital,Ionosphere research,27 July,Successful
2 August,DF-31,,China,Taiyuan,CASC,,CASC,Suborbital,Missile test,2 August,Successful
2 August11:37,Hera,,United States,White Sands LC-94,US Air Force,,US Air Force,Suborbital,ABM target,2 August,Successful
2 August11:44,THAAD,,United States,White Sands,US Air Force,,US Air Force,Suborbital,ABM Interceptor,2 August,Successful
12 August22:52,Ariane 4 42P,,France,Kourou ELA-2,Arianespace,Telkom 1,PT Telkom,Geosynchronous,Communications,In orbit,Operational
